Comments,Satisfied,Unsatisfied,Average,hygenic,Unhygenic,Irrelevent ,Aggressive
অতিরিক্ত এডিটিং এর জন্য খিচুড়িকে চানাচুর এর মতো লাগছে।,0,0,0,0,0,1,0
এর থেকে বাজে খাবার আর কোনোটা হতে পারে না,0,1,0,0,0,0,0
এদের মত জঘন্য পৃথিবীতে আর কেউ বিরিয়ানি আর নেহারি বানায় কিনা আমার সন্দেহ আছে,0,1,0,0,0,0,0
খাবারের মধ্যে চুল থাকে বেশী। খাবার স্বাদ ভালো খাবার নোংরা অনেক প্যাকেট ,0,0,0,0,1,0,0
মরা মুরগীর বিরিয়ানি,0,0,0,0,1,0,0
আজকের খাবার ভালো ছিল,1,0,0,0,0,0,0
খাবারে স্বাদ ভালো না।আর সালাদ তো দেয় ই নাই।দুইটা লেবু দিসে তাও পঁচা গন্ধ।,0,1,0,0,1,0,0
এক কথায় অসাধারণ । কথায় বলে পুরোনো চাউল ভাতে বাড়ে ।।,1,0,0,0,0,0,0
কাওয়া বিরিয়ানি,0,0,0,0,0,1,0
বিষ টাকায় কাউয়া বিরিয়ানী খাওয়ার পরে কা কা করাতে হবে,0,0,0,0,0,1,0
আজকের খাবারের টেস্ট বাজে ছিলো,0,1,0,0,0,0,0
খুব বাজে খাবার। একবার খেলে মনে থাকবে সবসময়।,0,1,0,0,0,0,0
ঝাল মানেই কী মজা! মজা হলো খাবার আরাম-আনন্দের সাথে উপভোগ করা,1,0,0,0,0,0,0
মোটামুটি মানের তেহারি।,0,0,1,0,0,0,0
খুব খারাপ. ভিতরে মুরগি কাঁচা ছিল,0,1,0,0,1,0,0
"ফালতু পুরা, টেস্ট নাই কোনো",0,0,0,0,0,0,1
পুরাই ফালতু খাবার ৮৫০ টাকাই জলে ফালাইলাম,0,0,0,0,0,0,1
এইটা মুড়ি মাখা? এটা তো মাছ মাংস মাখা উইথ অল্প কিছু মুড়ি।,0,0,0,0,0,1,0
"আমি ডাল ভুনা দিয়ে ভাত মেখে, অল্প অল্প নাগা উইংস মিশিয়ে খেয়েছি! মজাও, আবার ঝালে ইন্তেকাল ও করা লাগেনাই!",1,0,0,0,0,0,0
স্বাদ সত্যিই খারাপ ছিল. পরিমাণ এবং গুণমান উভয়ই খারাপ ছিল,0,1,0,0,0,0,0
চিকেন পনির খুব ভালো ছিল,1,0,0,0,0,0,0
সেটা দেখতে সুস্বাদু,1,0,0,0,0,0,0
সব গুলোই দারুন মজা ছিলো,1,0,0,0,0,0,0
এরকম জঘন্য বার্গার আমি জীবনে খাই নাই,0,0,0,0,0,0,1
খাবার খুবই সাধারণ,0,0,1,0,0,0,0
খাবার যেটা অর্ডার করেছিলাম সেটা ভালো ছিলো কিন্তু খুব নোংরা লেগেছিলো,0,0,0,0,1,0,0
"বাসি প্যাটি, বিশ্রী গন্ধ",0,0,0,0,1,0,0
বাার্গারটা দেখতে সেই ত,1,0,0,0,0,0,0
সুপার হতাশাজনক সালমন বার্গার,0,1,0,0,0,0,0
খাবার ভাল না একটুও,0,1,0,0,0,0,0
"ফালতু খাবার ,পেট বেথায় শেষ ভাই",0,0,0,0,0,0,1
খাবারটি অস্বাস্থ্যকর লেগেছে আমার,0,0,1,0,0,0,0
ব্যাটার পানিপুরি ভালো না,0,1,0,0,0,0,0
আমি এই খাবার খেয়ে হতাশ,0,1,0,0,0,0,0
তাদের খাসির রান্না ও টেস্ট,1,0,0,0,0,0,0
"খাবারের মান একদম ভালোলাগেনাই,এখানে শুধু ভর্তাটা আর সবজির বরাটা একটু ভালো লাগছে।
সরিষা ইলিশ একদমি ভালো না।কিন্তু দাম ভালোই রাখে।",0,0,1,0,0,0,0
খাবারগুলো দেখতে যতটা সুন্দর ততটাই স্বাদহীন।,0,1,0,0,0,0,0
খাবার এর টেস্ট আমার কাছে বিচ্ছিরি লাগসে,0,1,0,0,0,0,0
যতবার ই গিয়েছি খাবারের মান এবং স্বাদ নিয়ে হতাশ হয়েছি,0,1,0,0,0,0,0
আমিও খাবার খেয়ে হতাশ হয়েছি,0,1,0,0,0,0,0
খাসির রান্না টেস্ট,1,0,0,0,0,0,0
ভর্তাটা আর সবজির বরাটা একটু ভালো লাগছে,1,0,0,0,0,0,0
সরিষা ইলিশ একদমি ভালো না,0,1,0,0,0,0,0
খাবার এর টেস্ট আমার কাছে বিচ্ছিরি লাগসে,0,1,0,0,0,0,0
মরা মুরগীর বিরিয়ানি,0,0,0,0,1,0,0
মুড়িকে ভাত বানাই দিলেইত হয়।,0,1,0,0,0,0,0
"মুড়ির খিচুড়ী, এর চেয়ে ভালো",0,0,0,0,0,1,0
"মরা গরু দিয়ে, কুকুরের মাংস,, কে যানে",0,0,0,0,0,0,1
যেই মুরগী মুড়ি তে দেয় ঔইটা আসল মুরগী না,0,0,0,0,1,0,0
খাবারের মান হতাশাজনক। লবণ এতো বেশি ছিলো যে খাওয়াই যাচ্ছিল না।,0,1,0,0,0,0,0
চিনির সরবত এর মত স্যুপ বানিয়ে দিয়েছে,0,1,0,0,0,0,0
আমার খাওয়া সবচেয়ে খারাপ খাবার... খাবার খুব ঠান্ডা ছিল। ,0,1,0,0,0,0,0
খিচুড়ির পরিমান দেখে আমি হতবাক,0,1,0,0,0,0,0
একদম ফালতু মুরগী,0,0,0,0,0,0,1
"বাজে বাসি খাবার, জঘন্য।",0,0,0,0,1,0,0
হাসের মাংস খেতে কেমন তা ভুলে গেছি।,0,1,0,0,0,0,0
"খাবারের মান বেশ ভালো, সুপার।",1,0,0,0,0,0,0
ফালতু বাসি পচা খাবার।,0,0,0,0,1,0,0
খাবারের মান বেশ ভালো,1,0,0,0,0,0,0
লুচি তে তেল ছিলো প্রচুর । একটু কম ভালো লাগছে ।,0,0,1,0,0,0,0
রুটিটা শক্ত ছিলো সাবওয়ের।,0,1,0,0,0,0,0
খাবারের মান ভালো,1,0,0,0,0,0,0
পোকা ছিলো চিকেন চিলি অনিওন এর কর্ন ফ্লাওয়ার এর ভিতর।,0,0,0,0,0,0,0
চিকেনটা ম্যারিনেশন কম হয়েছিলো। ভেতরে মশলা ঢুকে নাই। বাকি সব অকে।,0,0,1,0,0,0,0
ডাল এবং ভর্তা খুবই ভালো ছিল,1,0,0,0,0,0,0
বাসি খাবার ছিল। একটা গন্ধ ছিল।,0,0,0,0,1,0,0
ভাতের চাল বেশ মোটা,0,0,1,0,0,0,0
"তাজা, গরম এবং মুখরোচক খাবার",0,0,0,1,0,0,0
খাবারের কোয়ালিটি খুবি বাজে,0,1,0,0,0,0,0
টেষ্ট এর মান বাজে,0,1,0,0,0,0,0
খুব বাজে খাবার,0,1,0,0,0,0,0
আজ ডাল ভুনাতে বিন্দু পরিমানও লবন দেয়া হয় নি,0,1,0,0,0,0,0
রসগোল্লা মনে হয় নি। মনে হয়েছে রাবার খাচ্ছি। একে বারে টাকা জলে ফালাম।,0,0,0,0,0,0,1
স্বাদে খারাপ,0,1,0,0,0,0,0
পুডিং এর সাদ এক দিম বাজে ছিলো,0,1,0,0,0,0,0
বিফ খিচুড়ি টা বেশ ভালো।,1,0,0,0,0,0,0
খাবার ভাল টেস্ট ও ভাল ছিল,1,0,0,0,0,0,0
গ্রিল এর সাথে ঝোল বা মায়ো কিছুই ছিল নাহ,0,1,0,0,0,0,0
মাংসটা গন্ধ গন্ধ ছিলো,0,1,0,0,0,0,0
খারাপ মানের খাবার খুব হতাশ,0,1,0,0,0,0,0
রসোমালাই পচে গেল,0,1,0,0,0,0,0
খাবার ছিল দারুণ কিন্তু পরিমাণ খুবই কম,0,0,1,0,0,0,0
এত বাজে স্যান্ডউইচ আমার বাপের জন্মে খাইনি,0,0,0,0,0,0,1
"পিজ্জা,সস মজা ছিলো। কিন্তু সস আরেক টু হলে ভালো হতো।",0,0,1,0,0,0,0
"সব কিছুই ঠিক ছিলো, শুধু পিজ্জার সাথে সস্ দেয়া হয় নি।",0,0,0,0,0,0,0
বাসি ছিল খাবার।,0,0,0,0,1,0,0
রসোমালাই পচে ,0,1,0,0,0,0,0
"মটরের পরিমাণ বেশি ছিলো, যা আমার মোটেও পছন্দের নয়।",0,1,0,0,0,0,0
খাবার এর সাদ ভালনা ভাত ছিলো খুব বেশি শক্ত,0,1,0,0,0,0,0
এমন বাজে চা বলার ভাষা নেই,0,0,0,0,0,0,1
অনেক ভালো খাবার,1,0,0,0,0,0,0
খুব দুঃখজনক. খাবারে চুল পেলাম,0,0,0,0,1,0,0
মাশাল্লাহ পরিমাণে অনেক। খাবার ভালো।,1,0,0,0,0,0,0
নষ্ট সব্জীর তারকারি। গন্ধ হয়ে গিয়েছিল,0,1,0,0,0,0,0
টাকা দিয়ে ফালতু জিনিস পেলাম কোন মজা পাই নাই,0,0,0,0,0,0,1
"বিরিয়ানি ঠান্ডা ছিলো, মাংসের সাইজ তুলনামূলক ছোট ছিলো।",0,1,0,0,0,0,0
খাবার টাটকা এবং স্বাদ ভালো।,1,0,0,0,0,0,0
বাজে চিলো চিকেন রোস্ট না চিকেন তোরকারি,0,1,0,0,0,0,0
খাবার ছিল এত সুস্বাদু এবং মুখে জল আনা,1,0,0,0,0,0,0
খাবারের মধ্যে রং না দিলে ভালো হতো। মুটামুটি আছে। তেমনএকটা না।,0,0,1,0,0,0,0
মসলা চা ছিল খাবারের সাথে বোনাস,1,0,0,0,0,0,0
মাত্র ২ পিস মাংস ছিলো। এক পিস চর্বি আর এক পিস হাড়। তরকারি পড়ে ফালানি হয়ছে।,0,1,0,0,0,0,0
খুবই বাজে আর গন্ধ ছিল খাবারে। আর রাইস অল্প ছিলো। ধান্দাবাজ হালারা।,0,1,0,0,0,0,0
"রাইস এর পরিমাণ টা ভালো ছিল, মাংসের পিস গুলো ড্রাই না হলে আরো ভালো লাগতো।",0,0,1,0,0,0,0
খাবারের মান ভালো ছিলো না,0,1,0,0,0,0,0
অত্যধিক নোনতা খাবার,0,1,0,0,0,0,0
একটু ও ভালো না। পরিমাণ অনেক কম। নুডুলস ১:২ ছিলো।,0,1,0,0,0,0,0
ডিম চৌমিয়ান স্বাদ গড় ছিল,0,0,1,0,0,0,0
"শর্মা টা ভালো খেতে,, পরিমান ঠিকঠাক স্বাদেও ভালো",1,0,0,0,0,0,0
ওভেন বেকড পাস্তা টা জোস ছিলো,1,0,0,0,0,0,0
"ঐটা বার্গার ছিলো নাকি অন্য কিছু?আমাকে যেভাবে দিছে মনে হচ্ছে আমি প্রথম বার্গার খাচ্ছি।
বার্গার বান নেই পুরি দিয়ে বার্গার বানিয়েছে।পেটি টার কথা বাদ",0,0,0,0,0,0,1
আলু পুরি টা ভালো ছিল বাট ভিতরে যে মিশ্রণ টা দেয় সেটি জাস্ট ফর শো অফ।এটা বেশি দিলে খুবই ভালো হবে।,0,0,1,0,0,0,0
প্রশংসনীয়  একটু নোনতা কিন্তু আমি খাবার পছন্দ করেছি,1,0,0,0,0,0,0
অতুলনীয় একটি খাবার,1,0,0,0,0,0,0
পেটের অবস্থা একদম খারাপ বার্গার গুলো একদম ঠান্ডা,0,1,0,0,0,0,0
"আগের মতো আর টেস্ট নাই।
 আর এখন পরিমানেও অনেক কম দেয়। একই জিনিস অন্য জায়গায় ১৫ টাকায় পাওয়া যায়।
 কিন্তু এখানকার টেস্ট আলাদা ছিল আগে। এখন আর আগের মতো ভালো লাগে নাই।",0,1,0,0,0,0,0
আর সব বার্গার চেয়ে ভিন্ন বার্গার.... খুবই টেস্টি একটি খাবার।,1,0,0,0,0,0,0
বিফ খিচুড়ি অসাধারণ,1,0,0,0,0,0,0
গ্রিল আর নান রুটি খুব ভালো ছিল ।,1,0,0,0,0,0,0
"গ্রিল এর স্বাদ ভালই ছিল।মেয়োনিজ টা অসাধারন ইউনিক টেস্ট।আর নান টা ও অনেক ভালো ছিল,সফট+ফ্লাফি।
ওভারঅল আমার কাছে ভালো লাগছে।আর আমার প্রথম অর্ডার ছিল এইটা।",1,0,0,0,0,0,0
"বাজে টেস্ট, কালামারি ফ্রাই চেয়েছিলাম কিন্তু যা এসেছে মনে হচ্ছিল কালামারি নুডলস উইথ এক্সট্রা সল্ট",0,1,0,0,0,0,0
"ইলিশ মাছ অরডার করসিলাম, সুবিধার ছিল না,ইলিশের কোন ঘ্রাণ কিংবা স্বাদ নাই। 
চিকেন ক্যাশুনাট সালাদটা দামের তুলনায় পরিমাণে অল্প ছিল।",0,1,0,0,0,0,0
"খুব বেশি বাজে। বাসি চিকেন দিছে। পুরোপুরি নষ্ট বার্গার। অর্ডার করে খেতে পারি নাই, ফেলে দিতে হয়েছে।",0,1,0,0,0,0,0
একদম বাজে হয়েছে মনে হয় কাঁচা কাঁচা আরেকটু দেখা উচিত ছিল,0,1,0,0,0,0,0
"খুবই জঘন‌্য , পুরাই পুরান তে‌লের গন্ধ , বা‌সি খাবার দি‌সে । এরা কখনও শুধরা‌বেনা",0,1,0,0,0,0,0
পিজ্জা গন্ধ লাগতেছিল মনে হচ্ছিল আগের দিনের। একেবারে বাজে,0,1,0,0,0,0,0
কোয়ালিটি ভালো না ।খাবার আরো উন্নত করতে হবে,0,1,1,0,0,0,0
বিরিয়ানি আরো ভালো করতে হবে।,0,0,1,0,0,0,0
গারলিক নান খুব বাজে ছিলো।,0,1,0,0,0,0,0
খুবই হতাশাজনক!!! মুরগি থেকে পঁচা গন্ধ বের হচ্ছিল।,0,1,0,0,0,0,0
"জঘন্য খেতে, লবনের গোডাউন দিয়ে রেখেছিলো",0,0,0,0,0,0,1
"খাবারে তেল মশলাটা আরো কমালে ভাল হত।দুজনের ভাতের পরিমান বেশ কম ছিল।
মেন্যুতে টকের বদলে আচার লিখা উচিত।আচার আর টক দুটি ভিন্ন পদ। আমি টক অর্ডার করেছিলাম।
 পরে দেখি আচারকে টক হিসেবে দিয়ে দিয়েছে।যদিও আচার বেশ সুসবাদু ছিল",0,0,1,0,0,0,0
